Pathway,RHL3145,RHL3151,RHL3153,RHL3513,RHL3538,RHL3539,RHL3540,RHL3541,RHL3542,RHL3545,RHL3546,RHL3547,RHL3548,RHL3549,RHL3552,RHL3553,RHL3554,RHL3555,RHL3556,RHL3559,RHL3560,RHL3561,RHL3563,RHL3565,RHL3566,RHL3572,RHL3573,RHL3574,RHL3577,RHL3578,RHL3579,RHL3580,RHL3581,RHL3871,RHL3872,RHL3873,RHL3874,RHL3875,RHL3946,RHL3947,RHL3948,RHL3949,RHL3950,RHL3951,RHL3952,RHL3953,RHL3954,RHL3955,RHL4237,RHL4238,RHL4239,RHL4240,RHL4241,RHL4242,RHL4243,RHL4246,RHL4247,RHL4248,RHL4251,RHL4252,RHL4253,RHL4254,RHL4255,RHL4256,RHL4257,RHL4262,RHL4263,RHL4264,RHL4265,RHL4274,RHL4275,RHL4276,RHL4277,RHL4279,RHL4280,RHL4281,RHL4282,RHL4283,RHL4413,RHL4414,RHL4415,RHL4416,RHL4419,RHL4420,RHL4421,RHL4422,RHL4423,RHL4424,RHL4425,RHL4426,RHL4427,RHL4432,RHL4433,RHL4434,RHL4465,RHL4466,RHL4468,RHL4469,RHL4470,RHL4471,RHL4472,RHL4473,RHL4474
REACTOME_INTERLEUKIN_6_SIGNALING,0.230929165,0.503123728,0.530794451,-0.061945295,0.089532788,-0.283207013,-0.127283477,-0.408333876,-0.290366702,0.272320331,0.289018278,-0.356296474,0.220158694,0.202182975,0.226752168,-0.276205557,0.056869821,0.018253115,0.162027549,0.153131534,0.098834107,-0.067615066,-0.080193444,0.000665774,-0.394102724,0.51506607,-0.159491375,0.152357945,-0.150158693,-0.108769516,0.305322793,0.392397258,0.317783681,-0.366827459,-0.32026282,-0.247115747,-0.410482199,-0.438313506,-0.361907013,-0.390387992,-0.324869651,-0.160741093,-0.378831476,0.073666359,0.250152663,0.293992461,0.293272245,0.544937512,-0.123175203,0.062624282,0.035439713,-0.020267865,-0.195446439,0.218041821,0.023226827,-0.095773186,-0.671207425,-0.409511523,0.540222445,0.237087619,0.478295604,0.483218828,0.207395688,0.317318297,-0.629754189,-0.644044832,-0.618741813,-0.213598253,-0.344062858,-0.039143298,0.288709665,0.029272767,0.229937229,-0.35519675,-0.300828948,0.256299803,-0.585661645,0.296011253,-0.013162836,-0.065423309,-0.104872675,-0.405353828,-0.145756931,-0.037754843,0.017037336,0.116390798,-0.079149449,0.101428602,0.168529661,0.072056721,0.213869963,0.276954266,0.250879122,0.560416328,0.553291743,-0.38869098,0.041462782,-0.006991672,0.250021039,0.012674666,-0.015185379,-0.181818333,0.088853867
REACTOME_APOPTOSIS,-0.343214804,-0.284653843,-0.02328775,0.049434973,-0.224360379,-0.033607001,0.031445522,-0.040545754,0.13531276,-0.092348708,-0.079761361,0.000700958,-0.004859641,0.156719813,0.305198375,0.310116866,0.368611959,0.290443829,0.362100533,0.323964784,0.270159087,0.215356177,0.162749897,0.125960871,-0.201511405,-0.224359141,-0.319587378,-0.28709275,-0.361237517,-0.395206183,-0.355657037,-0.293585,0.202132927,0.029215899,0.112171572,0.066405789,-0.018038692,0.102860248,-0.145899811,-0.134544177,-0.188780357,-0.25895865,-0.33257829,-0.287593498,-0.358351282,-0.357239772,-0.188552267,-0.278804119,0.03244455,0.060177424,0.002449943,0.027216154,0.023307627,-0.029699771,0.021792697,0.111140155,0.106756734,0.111939979,-0.112426264,-0.050139009,-0.070235008,0.012722735,-0.027934689,0.160910527,-0.463781522,0.01485274,-0.347155226,0.175580557,0.2485599,-0.155288959,0.022569447,0.054631639,0.044312386,-0.119346316,-0.256032393,0.032971736,0.067181749,0.236197817,-0.021368673,0.012077889,0.0034481,-0.040252157,0.231340822,0.24317478,-0.264563387,-0.256269311,-0.414014188,0.127917389,0.207748457,0.152076344,0.130814886,-0.093367575,-0.142121281,0.312592048,0.282021338,-0.236609172,-0.23321046,-0.340929869,0.050298059,0.025612125,0.068872548,-0.102736551,0.049847544
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,-0.411245846,-0.334954943,-0.023569472,0.084532611,-0.118758336,-0.055243774,0.15343123,-0.043269339,0.171035649,0.035982813,-0.015864585,0.13286148,0.138343891,0.227959503,0.196090228,0.209816127,0.278181455,0.155523053,0.272527527,0.225822577,0.10511986,0.17379429,0.052523618,0.218454249,0.146956445,-0.097613277,-0.269433816,-0.234259062,-0.333624478,-0.439569072,-0.395907537,-0.256561391,0.058885044,0.041628853,0.069370174,-0.02023106,-0.123202625,0.055255872,-0.390220654,-0.189757432,-0.397822493,-0.332802793,-0.398838036,-0.225822462,-0.366797397,-0.252413089,-0.004463719,-0.051186993,-0.135568436,0.022460395,-0.013192337,-0.007902246,0.079508939,0.036685821,0.145552273,0.067330551,0.048925678,0.194612844,0.041704763,-0.210066911,-0.117005773,-0.194211381,-0.110376891,0.117366127,-0.542352708,0.098827943,-0.404182649,0.227362354,0.263480659,-0.125392737,0.034856682,-0.0236946,0.087491765,-0.248125382,-0.384794045,-0.018533985,0.062599301,0.346856973,0.196517027,0.195512162,0.128321708,0.034417575,0.318456885,0.335382911,-0.195573448,-0.253746348,-0.481033654,0.051422656,0.118523323,0.120868376,0.17780984,0.039103293,-0.022071115,0.328557727,0.254097975,-0.223896552,-0.334387023,-0.361152637,0.120483784,0.01591013,0.09478361,-0.087661178,0.068238922
REACTOME_MAPK3_ERK1_ACTIVATION,0.20047795,0.177647596,0.379190908,-0.205163172,-0.054399613,-0.258169394,-0.315817361,-0.312319512,-0.307003711,0.047380295,0.036560644,-0.34931995,0.152223487,0.016312888,0.315146172,0.16406296,0.192246151,0.065571702,0.32326081,0.02168437,0.114962395,-0.147481579,0.036581783,-0.316869804,-0.405740106,0.291856954,-0.012558396,0.15752779,-0.064408343,-0.135521301,0.074895903,0.150870109,0.125677119,-0.008687466,0.086062097,0.048388555,-0.020714909,-0.010556227,-0.127767778,0.00158803,-0.301654552,-0.09200931,-0.025940067,-0.275969643,0.030106665,0.120543906,0.147762358,0.192968652,-0.331951473,-0.241518035,-0.099372587,0.100929444,-0.076663578,0.049244783,-0.000364809,-0.123837013,-0.459023802,-0.116491379,0.373770263,0.075219541,0.23464666,0.230901047,0.114143483,0.022423772,-0.586777739,-0.2013095,-0.365262026,-0.002008261,-0.029109762,-0.100944977,0.289749067,0.12349026,0.153401197,-0.354102459,-0.118402907,-0.010223389,-0.262130787,0.460657346,-0.301877245,-0.092670996,-0.155034464,-0.43984532,-0.364734995,-0.144114748,-0.027508218,0.302895887,0.053517502,-0.228635409,0.006812737,-0.073865015,0.185636347,0.286547543,0.282168739,0.607181316,0.371407274,-0.151389349,0.191528265,0.145234421,0.198112812,0.094492432,0.012000111,0.080833001,-0.557478636
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,-0.365259148,-0.352132772,0.06338004,0.149281664,-0.162427316,0.096621655,-0.125877541,0.014870555,-0.023398108,0.212562397,0.052539979,0.313102527,0.090719657,0.228415935,0.356075693,0.40234302,0.352967169,0.388605892,0.420738726,0.070337272,0.100774862,0.211168962,-0.116043891,-0.098011694,-0.203640469,-0.20495237,-0.005504874,-0.025411651,-0.396319925,-0.339672652,-0.425749404,-0.371465196,0.18687667,-0.150611986,-0.296106404,-0.178965378,-0.226050014,-0.23089981,-0.220115988,-0.326762898,-0.386149644,-0.397149051,-0.469725862,-0.094920251,-0.401989702,-0.304424419,-0.233763576,-0.392346247,0.224536062,-0.068523189,0.081195659,-0.352023074,0.172377084,-0.000941941,-0.033774598,0.273809395,0.372926317,0.196553962,0.050423138,-0.198875861,-0.290285552,-0.105242899,-0.039658331,-0.281841266,-0.432054653,0.038567855,-0.28511658,0.204691067,0.22855967,0.177750752,0.225340228,0.292006267,0.225571187,-0.307255797,-0.315214465,-0.025639296,-0.208960473,-0.045637124,0.125856527,0.223126341,-0.067529697,-0.367118642,0.102873422,0.153428566,-0.23672942,-0.211630495,-0.25258443,-0.002945888,-0.014177346,-0.159285262,-0.304703968,-0.254797253,-0.204809422,0.055177131,0.274644804,-0.078028903,-0.152944035,-0.130338583,0.231940352,0.234355351,0.0825552,0.291958474,0.125777142
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,-0.368491615,-0.356897289,-0.087923552,0.031756768,-0.434392854,0.019098126,-0.281961776,0.065067359,0.043359803,0.193625793,0.139622882,0.315056217,0.149265713,0.309620792,0.564556919,0.626374202,0.615610987,0.545454761,0.59183052,0.143208562,0.411092019,-0.041446104,0.165790527,-0.2979314,-0.570863716,-0.347917848,-0.396853174,-0.331103497,-0.496160337,-0.48894925,-0.523878512,-0.514884328,0.186354724,-0.196178724,-0.348680603,-0.277164737,-0.381227953,-0.255386514,-0.268348156,-0.4362658,-0.457523999,-0.504403368,-0.570301686,-0.447042469,-0.664138096,-0.513448371,-0.419519887,-0.416403975,0.082170612,-0.148172992,0.238656381,-0.243816194,0.162952065,-0.018198812,-0.095787425,0.337968981,0.422158864,0.493269716,0.043064077,-0.141478473,-0.116583679,-0.046631015,-0.137708683,-0.275118924,-0.431905379,0.40179585,0.074212929,0.46635989,0.445189914,0.108814849,0.362163012,0.169418787,0.284616874,-0.187992159,-0.155935427,-0.060587691,0.153086609,0.097553006,0.179181112,0.180093018,-0.044742566,-0.351686468,0.306244493,0.27661808,-0.430215728,-0.310704588,-0.343470071,-0.139752816,-0.048188456,-0.169475436,-0.450440128,-0.256305952,-0.242021742,-0.025425168,0.420437202,-0.070070209,0.103720698,-0.051619015,0.48778841,0.415539313,0.284371705,0.185276935,0.159341158
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,-0.275163808,-0.269502804,0.169190773,-0.096726861,-0.590956582,-0.135540431,-0.383087577,-0.023044353,-0.155681658,0.01148533,0.027117855,0.057006543,0.123547246,0.376603619,0.467889441,0.523843119,0.577514495,0.476611509,0.549421094,-0.082751257,0.132241981,-0.105785574,-0.118611543,-0.022639409,-0.337417667,-0.352131497,-0.28396129,-0.319976316,-0.502565507,-0.49740446,-0.530866367,-0.492495242,0.122720696,0.117456152,-0.108414014,-0.104366318,-0.199636052,0.005490406,-0.081026403,-0.208663747,-0.233463115,-0.406428141,-0.457869579,-0.409000157,-0.576442781,-0.43921718,-0.35632929,-0.440656987,-0.016169248,-0.072062154,0.277997113,-0.146579532,-0.033726638,0.032990466,-0.139030127,0.390432901,0.48810484,0.4122732,-0.217984737,-0.155991818,-0.104625886,0.0557253,0.096744877,-0.12325273,-0.525773883,0.249677841,-0.26041422,0.225176623,0.287339765,0.379282216,0.553489627,0.547912964,0.487017061,-0.196465932,-0.292067354,-0.029013852,-0.077597623,0.036736952,-0.136641899,-0.129095791,-0.202991971,-0.411900716,0.094632917,0.075996196,-0.353481982,-0.123209583,-0.200466629,-0.104327389,-0.183127342,-0.343421024,-0.574768616,-0.139469042,-0.073139685,0.157766181,0.383425589,-0.136248198,0.071862029,-0.128279025,0.362980093,0.3788543,0.327319655,0.419620637,0.219089284
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,-0.453681585,-0.56167834,0.378010168,0.28489251,0.237365954,0.033896066,0.162123233,0.2191567,0.231898273,0.421064185,0.356554348,0.303630483,-0.060540511,0.416045538,0.039665595,-0.043728489,0.23913378,0.173659463,0.135495123,-0.269862848,-0.467135757,-0.382124898,-0.501754059,-0.35404509,0.370457741,0.270990328,0.297629346,0.388207386,-0.14357751,-0.435080319,-0.439518035,-0.283888199,-0.316525907,0.073947343,0.093274592,-0.22018391,-0.13744582,0.061095198,-0.299509809,0.03663586,0.104731728,0.028177524,-0.239812989,0.075332982,-0.199647078,-0.652790443,-0.117532607,-0.239338831,0.475716971,-0.030628902,0.172704201,0.23211164,0.379699615,0.033918334,0.275788955,-0.038250376,0.197981522,-0.168119028,0.398652001,-0.557989782,-0.526633223,-0.435964138,-0.613888342,-0.400198531,-0.116964029,-0.358035632,-0.241500786,0.396616939,0.35514908,-0.244996202,-0.090574206,-0.032388742,-0.04263327,-0.357116244,-0.263973892,-0.249448937,0.367069168,0.324034423,-0.496950534,-0.415764269,-0.346517996,-0.296551526,-0.005726477,0.155383412,0.162802888,0.043789853,0.241579264,0.263074027,0.147381551,0.314079506,0.307467603,0.396552306,0.305610658,0.38367638,0.283372123,-0.089419492,-0.526509325,-0.484055822,0.037133836,0.100604804,0.086741685,-0.000859276,-0.114314832
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,-0.676159836,-0.601920235,0.093694725,0.23584141,-0.226500767,0.385130874,0.017715777,0.190654825,0.176973286,0.437518481,0.282555308,0.528834869,0.210355434,0.408200481,0.662417581,0.692108817,0.66937548,0.672353033,0.66194156,0.252053146,0.398558972,0.377587695,0.132596869,-0.110921324,-0.428271764,-0.353512663,-0.155736386,-0.185710627,-0.571166081,-0.585658737,-0.641447544,-0.593824163,0.299650354,-0.064723632,-0.308090731,-0.156490332,-0.233292402,-0.123909262,-0.500321526,-0.534602873,-0.611335505,-0.636329605,-0.649579602,-0.363441217,-0.647277189,-0.515167606,-0.444911549,-0.590075604,0.441463471,-0.024353565,0.319873633,-0.193099555,0.381109543,0.188558672,0.191065771,0.378695304,0.512815907,0.51724538,0.019211744,-0.46438695,-0.515092984,-0.379942577,-0.332595155,-0.42878494,-0.316315477,0.432245013,0.175171027,0.547268517,0.555580825,-0.067417994,0.105496049,-0.045137461,0.037100238,-0.336632721,-0.326352776,-0.294198816,0.117307297,0.112810401,-0.017542341,0.239841722,-0.200193406,-0.500395265,0.309049304,0.326205825,-0.421985358,-0.289270129,-0.355376656,0.028052361,0.27423671,0.119774747,-0.217646658,-0.440808427,-0.506295266,-0.034941381,0.381069603,-0.417148619,-0.340327753,-0.427739965,0.334128719,0.351213528,-0.094766543,-0.094201295,-0.002295863
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,-0.454472067,-0.382088201,-0.299655039,0.039099031,-0.38553834,-0.055354396,-0.046735651,-0.076288872,0.05874941,-0.010519733,-0.082039071,-0.006717041,-0.015413346,0.061320801,0.328019975,0.210509382,0.480571482,0.159709521,0.237420644,0.423086291,0.364054125,0.34254349,0.349399868,0.316186712,0.201427071,-0.149549031,-0.540297755,-0.386625871,-0.555567416,-0.576316659,-0.486788717,-0.295142033,0.145690331,-0.105138533,-0.121638389,-0.21347537,-0.246990182,-0.223108523,-0.338573339,-0.252705667,-0.458691873,-0.327333143,-0.491544031,-0.620320002,-0.485809523,-0.450479278,-0.391012803,-0.345619356,-0.114489016,0.026171664,0.06931975,0.198062359,-0.064714048,0.201683423,-0.139510127,0.025971495,-0.162742696,0.006954479,0.055488371,-0.026219368,-0.001057576,-0.024548315,0.049182931,0.128236521,-0.688621545,0.217933751,-0.409223522,0.401497061,0.430487563,-0.286903564,-0.10854999,-0.27646104,-0.28536965,-0.232328081,-0.364941663,0.158631217,0.474858947,0.489634607,0.321640501,0.322187761,0.371879279,0.332055201,0.714938616,0.614167994,-0.24421695,-0.244855561,-0.380754054,0.21683248,0.138045833,0.209027294,0.281992123,0.232937662,0.152349926,0.156232889,0.366464875,-0.084033728,-0.494571602,-0.288661881,0.27166516,0.154301431,0.172017224,-0.188799365,0.325914227
